team_id,display_name,team_code,team_short_name
85,F.C. København,FCK,København
293,Brøndby IF,BIF,Brøndby
86,Silkeborg IF,SIF,Silkeborg
939,FC Midtjylland,FCM,Midtjylland
2394,FC Nordsjælland,FCN,Nordsjælland
2447,Viborg FF,VFF,Viborg
2356,Randers FC,RFC,Randers
390,Sønderjyske Fodbold,SJF,Sønderjyske
1789,Odense Boldklub,OB,Odense
2905,Aarhus Gymnastik Forening,AGF,Aarhus
7466,Vejle Boldklub,VB,Vejle
2933,FC Fredericia,FCF,Fredericia
1020,Aalborg BK,AaB,Aalborg
8635,FC Helsingør,FCH,Helsingør
2650,Lyngby BK,LBK,Lyngby
8657,Hvidovre IF,HIF,Hvidovre
211,AC Horsens,ACH,Horsens
1703,Hobro IK,HIK,Hobro
1371,Esbjerg fB,EfB,Esbjerg
2706,Vendsyssel FF,VEN,Vendsyssel
8628,FC Vestsjælland,VSJ,Vestsjælland
6953,HB Køge,HBK,Køge
273,Aberdeen,ABD,Aberdeen
53,Celtic,CEL,Celtic
284,Dundee,DUN,Dundee
282,Dundee United,DUU,Dundee Utd
770,Falkirk,FAL,Falkirk
314,Hearts,HEA,Hearts
66,Hibernian,HIB,Hibernian
180,Kilmarnock,KIL,Kilmarnock
309,Motherwell,MOT,Motherwell
62,Rangers,RAN,Rangers
734,St. Johnstone,STJ,St. Johnstone
496,St. Mirren,STM,St. Mirren
462026,Deportivo Alavés,ALV,Alavés
616057,UD Almería,ALM,Almería
452665,Athletic Club,ATH,Athletic
451814,Atlético Madrid,ATM,Atlético
450963,FC Barcelona,BAR,Barcelona
616908,Cádiz CF,CAD,Cádiz
458622,Celta de Vigo,CTA,Celta
463728,Deportivo La Coruña,DEP,Deportivo
464579,SD Eibar,EIB,Eibar
679031,Elche CF,ELC,Elche
460324,RCD Espanyol,ESP,Espanyol
465430,Getafe CF,GET,Getafe
466281,Girona FC,GIR,Girona
609249,Granada CF,GRA,Granada
618610,SD Huesca,HUE,Huesca
455218,UD Las Palmas,LPA,Las Palmas
457771,CD Leganés,LEG,Leganés
459473,Levante UD,LEV,Levante
456069,Málaga CF,MLG,Málaga
679882,RCD Mallorca,MLL,Mallorca
619461,CA Osasuna,OSA,Osasuna
611802,Real Oviedo,OVI,Oviedo
3970699,Racing Santander,RAC,Racing
620312,Rayo Vallecano,RAY,Rayo
462877,Real Betis,BET,Betis
461175,Real Madrid,RMA,Real Madrid
467132,Real Sociedad,RSO,Real Sociedad
456920,Sevilla FC,SEV,Sevilla
453516,Valencia CF,VLC,Valencia
613504,Real Valladolid,VLL,Valladolid
454367,Villarreal CF,VIL,Villarreal
3032897,Adana Demirspor,ADS,Adana Demir
848380,Alanyaspor,ALA,Alanya
3035450,Altay,ALT,Altay
3046513,Amedspor,AMD,Amed
860294,MKE Ankaragücü,ANK,Ankaragücü
856039,Antalyaspor,ANT,Antalya
3049917,Bodrumspor,BOD,Bodrum
467983,Beşiktaş,BJK,Beşiktaş
3038854,Denizlispor,DEN,Denizli
859443,Erzurumspor,ERZ,Erzurum
3054172,Eyüpspor,EYU,Eyüp
3055023,Fatih Karagümrük,KRG,Karagümrük
520745,Fenerbahçe,FEN,Fenerbahçe
549679,Galatasaray,GAL,Galatasaray
3041407,Gaziantep FK,GAZ,Gaziantep
849231,Gençlerbirliği,GNC,Gençlerbirliği
3042258,Giresunspor,GRS,Giresun
846678,Göztepe,GOZ,Göztepe
3043109,Hatayspor,HAT,Hatay
855188,Kasımpaşa,KSM,Kasımpaşa
852635,Kayserispor,KAY,Kayseri
6307545,Kocaelispor,KOC,Kocaeli
517341,Konyaspor,KON,Konya
3065235,Pendikspor,PEN,Pendik
857741,Çaykur Rizespor,RIZ,Rizespor
3066937,Samsunspor,SAM,Samsun
853486,Sivasspor,SIV,Sivas
850082,Trabzonspor,TRA,Trabzonspor
850933,Yeni Malatyaspor,MLT,Malatyaspor
5398677,Yeni Çorumspor,COR,Çorumspor
3044811,Ümraniyespor,UMR,Ümraniye
480748,İstanbul Başakşehir,IBB,Başakşehir
3045662,İstanbulspor,IST,İstanbulspor
1968296,Atlante FC,ATE,Atlante
1943617,Atlas FC,ATS,Atlas
1969998,Atlético San Luis,ASL,San Luis
1947021,Club América,AME,América
1941064,Club Tijuana,TIJ,Tijuana
1953829,Cruz Azul,CAZ,Cruz Azul
1956382,FC Juárez,JUA,Juárez
1939362,CD Guadalajara,GDL,Chivas
1948723,Club León,LEO,León
11916486,Mazatlán FC,MAZ,Mazatlán
1942766,CF Monterrey,MTY,Monterrey
1947872,Club Necaxa,NEC,Necaxa
1951276,CF Pachuca,PAC,Pachuca
1950425,Club Puebla,PUE,Puebla
1949574,Querétaro FC,QRO,Querétaro
1945319,Santos Laguna,SAN,Santos
11917337,To Be Confirmed,TBC,TBC
1940213,Tigres UANL,TIG,Tigres
1941915,Deportivo Toluca,TOL,Toluca
1946170,Pumas UNAM,PUM,Pumas
